# time (s)	h_+ (strain)	h_x (strain)
-1.995666504	2.709741230409185820e-21	-1.199989130793152971e-21
-1.995605469	3.072533831314721464e-21	-1.791076487776983387e-21
-1.995544434	2.756422456058785658e-21	-1.114837970012032422e-21
-1.995483398	3.114259707470758712e-21	-1.698506536377452131e-21
-1.995422363	2.800344720292033106e-21	-1.028291095459874058e-21
-1.995361328	3.153282238924240171e-21	-1.604724243717223598e-21
-1.995300293	2.841470181054988202e-21	-9.404343253397474303e-22
-1.995239258	3.189562513588028783e-21	-1.509811592448770924e-21
-1.995178223	2.879763514076936747e-21	-8.513545342356788932e-22
-1.995117188	3.223064250881507886e-21	-1.413851764280841308e-21
-1.995056152	2.915191949212820007e-21	-7.611395791560058610e-22
-1.994995117	3.253753832006533214e-21	-1.316929056031829574e-21
-1.994934082	2.947725304031895311e-21	-6.698782240095326529e-22
-1.994873047	3.281600327644504519e-21	-1.219128795172733672e-21
-1.994812012	2.977336014973410715e-21	-5.776600631652927587e-22
-1.994750977	3.306575523549899644e-21	-1.120537254594468967e-21
-1.994689941	3.003999165730941721e-21	-4.845754437329685060e-22
-1.994628906	3.328653943585267089e-21	-1.021241566999006280e-21
-1.994567871	3.027692513223735623e-21	-3.907153870961055788e-22
-1.994506836	3.347812870677783564e-21	-9.213296385729264922e-22
-1.994445801	3.048396510728397044e-21	-2.961715091829060381e-22
-1.994384766	3.364032365003776195e-21	-8.208900624126009023e-22
-1.994323730	3.066094328551582976e-21	-2.010359402031971946e-22
-1.994262695	3.377295279875857059e-21	-7.200120313871595278e-22
-1.994201660	3.080771871869645100e-21	-1.054012436605075345e-22
-1.994140625	3.387587275277407152e-21	-6.187852508505146513e-22
-1.994079590	3.092417796046169029e-21	-9.360334553520237010e-24
-1.994018555	3.394896828730116832e-21	-5.172998509871672812e-22
-1.993957520	3.101023519180215143e-21	8.699360285265534170e-23
-1.993896484	3.399215243659745520e-21	-4.156462990623069313e-22
-1.993835449	3.106583232056841769e-21	1.835671976028816583e-22
-1.993774414	3.400536655418650585e-21	-3.139153114813616977e-22
-1.993713379	3.109093905330843444e-21	2.802669751974039657e-22
-1.993652344	3.398858034578745371e-21	-2.121977659124675638e-22
-1.993591309	3.108555294152118432e-21	3.769994408444979785e-22
-1.993530273	3.394179187815865163e-21	-1.105846133045071637e-22
-1.993469238	3.104969939972060105e-21	4.736711630102855196e-22
-1.993408203	3.386502756144041514e-21	-9.166790152750913816e-24
-1.993347168	3.098343169827985203e-21	5.701888569670003946e-22
-1.993286133	3.375834210697074691e-21	9.196486921866952885e-23
-1.993225098	3.088683092809947637e-21	6.664594684593017352e-22
-1.993164062	3.362181845827336868e-21	1.927197200094835745e-22
-1.993103027	3.076000593926215276e-21	7.623902571293585987e-22
-1.993041992	3.345556769851383839e-21	2.930073939561676517e-22
-1.992980957	3.060309325419298466e-21	8.578888799891619804e-22
-1.992919922	3.325972893054292829e-21	3.927378861097006908e-22
-1.992858887	3.041625695268753132e-21	9.528634744833901382e-22
-1.992797852	3.303446913277439724e-21	4.918216409956001471e-22
-1.992736816	3.019968853164693173e-21	1.047222741303084162e-21
-1.992675781	3.277998298928515348e-21	5.901696382435930288e-22
-1.992614746	2.995360673965152127e-21	1.140876026759072508e-21
-1.992553711	3.249649269476877597e-21	6.876934777889540865e-22
-1.992492676	2.967825738318900265e-21	1.233733404626345586e-21
-1.992431641	3.218424773527776406e-21	7.843054641269394811e-22
-1.992370605	2.937391310948797716e-21	1.325705757545305467e-21
-1.992309570	3.184352464218312078e-21	8.799186899630502090e-22
-1.992248535	2.904087316328022996e-21	1.416704857520032799e-21
-1.992187500	3.147462672415076233e-21	9.744471190590467431e-22
-1.992126465	2.867946311739801581e-21	1.506643445928969954e-21
-1.992065430	3.107788377253181892e-21	1.067805668028277859e-21
-1.992004395	2.829003458010690093e-21	1.595435312530611800e-21
-1.991943359	3.065365174437167356e-21	1.159910287299545632e-21
-1.991882324	2.787296487702123475e-21	1.682995373769484307e-21
-1.991821289	3.020231241912956068e-21	1.250678041034073281e-21
-1.991760254	2.742865670807766276e-21	1.769239749816716460e-21
-1.991699219	2.972427303509489829e-21	1.340027185836909335e-21
-1.991638184	2.695753778119742407e-21	1.854085840890142096e-21
-1.991577148	2.921996589967352061e-21	1.427877248273151577e-21
-1.991516113	2.646006042347226412e-21	1.937452402242384954e-21
-1.991455078	2.868984797782967468e-21	1.514149101345689260e-21
-1.991394043	2.593670116616755545e-21	2.019259617957278333e-21
-1.991333008	2.813440045869493781e-21	1.598765039298786318e-21
-1.991271973	2.538796031065917098e-21	2.099429173579750491e-21
-1.991210938	2.755412829920215255e-21	1.681648851388858330e-21
-1.991149902	2.481436146905187158e-21	2.177884327382357022e-21
-1.991088867	2.694955974550739340e-21	1.762725893992967298e-21
-1.991027832	2.421645108413534667e-21	2.254549980116471993e-21
-1.990966797	2.632124583454085042e-21	1.841923161266939216e-21
-1.990905762	2.359479792754030778e-21	2.329352743440846698e-21
-1.990844727	2.566975987335149981e-21	1.919169354203219675e-21
-1.990783691	2.294999257710437143e-21	2.402221006714346700e-21
-1.990722656	2.499569689846596313e-21	1.994394948065962716e-21
-1.990661621	2.228264687362996502e-21	2.473085002163602736e-21
-1.990600586	2.429967311613183475e-21	2.067532258117619704e-21
-1.990539551	2.159339335781645406e-21	2.541876868512337869e-21
-1.990478516	2.358232532147210647e-21	2.138515503619945378e-21
-1.990417480	2.088288468716866916e-21	2.608530712684203464e-21
-1.990356445	2.284431030092970487e-21	2.207280869934792646e-21
-1.990295410	2.015179303504951969e-21	2.672982669942578567e-21
-1.990234375	2.208630421412477793e-21	2.273766568862406128e-21
-1.990173340	1.940080947046115794e-21	2.735170961965681363e-21
-1.990112305	2.130900196001799234e-21	2.337912896988465893e-21
-1.990051270	1.863064332041275758e-21	2.795035953218336268e-21
-1.989990234	2.051311652386018942e-21	2.399662292071247700e-21
-1.989929199	1.784202151474224263e-21	2.852520205147041470e-21
