# time (s)	h_+ (strain)	h_x (strain)
-1.996398926	5.454765466246599781e-22	-2.829105205393103700e-21
-1.996337891	9.570455567664114322e-22	-3.496520698229278119e-21
-1.996276855	6.438027729743316040e-22	-2.809245293127866133e-21
-1.996215820	1.050889613642183380e-21	-3.467495587952821949e-21
-1.996154785	7.413121713922165098e-22	-2.786375744969207822e-21
-1.996093750	1.143964285971347055e-21	-3.435645625688548047e-21
-1.996032715	8.379175804280808808e-22	-2.760524378727383482e-21
-1.995971680	1.236179752052133758e-21	-3.400994235918499174e-21
-1.995910645	9.335325735825097974e-22	-2.731721575972942380e-21
-1.995849609	1.327447099709663955e-21	-3.363567646158343486e-21
-1.995788574	1.028071544701350746e-21	-2.700000263281924736e-21
-1.995727539	1.417678404045931727e-21	-3.323394853101531786e-21
-1.995666504	1.121449792083505025e-21	-2.665395890418563189e-21
-1.995605469	1.506786804449960535e-21	-3.280507586995762547e-21
-1.995544434	1.213583601712382659e-21	-2.627946405729982502e-21
-1.995483398	1.594686580956081346e-21	-3.234940273814377519e-21
-1.995422363	1.304390329246804139e-21	-2.587692228631507491e-21
-1.995361328	1.681293229642915591e-21	-3.186729995353645139e-21
-1.995300293	1.393788480668712743e-21	-2.544676219505036263e-21
-1.995239258	1.766523537251335604e-21	-3.135916447430234423e-21
-1.995178223	1.481697791758458927e-21	-2.498943646877472262e-21
-1.995117188	1.850295654898616976e-21	-3.082541895958819267e-21
-1.995056152	1.568039306142527535e-21	-2.450542151782556737e-21
-1.994995117	1.932529170473456797e-21	-3.026651131074072425e-21
-1.994934082	1.652735451963852680e-21	-2.399521709800249372e-21
-1.994873047	2.013145180069038039e-21	-2.968291419243506792e-21
-1.994812012	1.735710117078921121e-21	-2.345934590480642640e-21
-1.994750977	2.092066358149923639e-21	-2.907512453392994724e-21
-1.994689941	1.816888722693029199e-21	-2.289835314327873387e-21
-1.994628906	2.169217026445216514e-21	-2.844366301119999915e-21
-1.994567871	1.896198295413771254e-21	-2.231280607302846066e-21
-1.994506836	2.244523221291312102e-21	-2.778907351027358938e-21
-1.994445801	1.973567537739237514e-21	-2.170329353242029815e-21
